facility_name,x,y,address
Liberty Boro Veterans Association,-79.8541335,40.328658,2701 C  Street PA 15133
61 C Cafe,-79.9227315,40.436163,1839 Murray  Avenue PA 15217
Marshall's Lounge,-80.0110755,40.392054,1254 Brookline Boulevard PA 15226
Jocko's Pub,-79.9336485,40.494465,901 Main St PA 15215
Tillie's,-79.839864,40.327965,308 36th St PA 15132
Bruegger's Bagel Bakery,-80.2086255,40.505193,1134 Thorn Run Road PA 15108
Moonlite Cafe,-80.022816,40.395537,530 Brookline Boulevard PA 15226
Arby's #1414,-80.150616,40.445829,6192 Steubenville Pike PA 15136
Kelley's Dari Delite,-80.0136855,40.344687,5999 Baptist Road PA 15236
Ritter's Diner Restaurant,-79.941249,40.456377,5221 Baum Boulevard PA 15224
Glens Frozen Custard,-79.7882175,40.541004,400 Pittsburgh Street PA 15144
Duquesne Club Health & Fitness,-79.998264,40.441842,339 6th Avenue PA 15222
Kentucky Fried Chicken #55,-79.9144425,40.404105,222 W 8th Av PA 15120
Tomato Pie Cafe,-80.0157555,40.591683,885 Ingomar Road PA 15101
House Of Lee,-80.0950635,40.510062,8145 Ohio River Boulevard PA 15202
Casey's Pizza Turtle Creek,-79.8247305,40.403898,922 Penn Avenue PA 15145
Modern Cafe,-80.0164575,40.452138,862 Western Avenue PA 15233
Bruegger's Bagel Bakery,-80.009631,40.529925,4885 McKnight Road PA 15237
Starlite Lounge,-79.8602535,40.494015,364 Freeport Road PA 15238
Elizabeth Firemen's Association / Club 139,-79.8868935,40.273146,107 Market  Street PA 15037
Donut Connection,-79.7166765,40.63059,2328 Freeport Road PA 15065
Sidequest on 44th,-79.961688,40.472505,146 44th Street PA 15201
Kentucky Fried Chicken #69,-79.946235,40.454937,4915 Baum  Boulevard PA 15213
Starbucks Coffee  #762,-80.181027,40.54095,425 Beaver Street PA 15143
Brewski's,-79.9908885,40.428765,801 Carson Street PA 15203
Gateway Clipper / The Majestic,-80.0077365,40.435443,350 Station Square  Drive PA 15219
Apollo Cafe,-79.99785,40.439142,429 Forbes Avenue PA 15219
Moondog's,-79.859781,40.494213,378 Freeport Road PA 15238
